Participant_ID,Concept_ID,Concept_Type,Concept,Evaluation,Potency,Activity,Rating_Total,Proportion_Rated
335,6,Concept Modifiers,accidental,0.4,-0.4,0.4,61,0.967213115
337,6,Concept Modifiers,accidental,2.5,2.9,2.9,61,0.967213115
338,6,Concept Modifiers,accidental,4,4,4,61,0.967213115
339,6,Concept Modifiers,accidental,4,3.9,3.9,61,0.967213115
345,6,Concept Modifiers,accidental,-1.3,0.1,-1.5,61,0.967213115
350,6,Concept Modifiers,accidental,-1.3,1.5,2,61,0.967213115
353,6,Concept Modifiers,accidental,-1,-1.5,-2,61,0.967213115
358,6,Concept Modifiers,accidental,0.3,0.4,0.2,61,0.967213115
383,6,Concept Modifiers,accidental,-0.8,-1.4,-0.9,61,0.967213115
390,6,Concept Modifiers,accidental,4,4,4,61,0.967213115
405,6,Concept Modifiers,accidental,-0.9,-2,-0.8,61,0.967213115
428,6,Concept Modifiers,accidental,2.6,2,2.6,61,0.967213115
435,6,Concept Modifiers,accidental,-0.6,0.4,-0.2,61,0.967213115
444,6,Concept Modifiers,accidental,-3.1,1,0.1,61,0.967213115
448,6,Concept Modifiers,accidental,-1,1.4,,61,0.950819672
509,6,Concept Modifiers,accidental,0,0,0,61,0.967213115
515,6,Concept Modifiers,accidental,0,0,0,61,0.967213115
528,6,Concept Modifiers,accidental,-1.9,-3.4,1.6,61,0.967213115
534,6,Concept Modifiers,accidental,-4,1.1,2.2,61,0.967213115
541,6,Concept Modifiers,accidental,2.5,3.3,3.9,61,0.967213115
553,6,Concept Modifiers,accidental,2.2,3.1,2.6,61,0.967213115
6,7,Other Concepts,account,1.2,2.2,1.6,61,1
8,7,Other Concepts,account,2.1,1.2,1.4,61,1
33,7,Other Concepts,account,1.2,3.6,-0.6,61,1
42,7,Other Concepts,account,3,3.1,3.2,61,1
73,7,Other Concepts,account,2.3,3.3,3,61,1
86,7,Other Concepts,account,2.7,3.4,3.9,61,1
90,7,Other Concepts,account,0.1,-0.7,0.1,61,1
93,7,Other Concepts,account,1,1.1,0,61,1
99,7,Other Concepts,account,3,1.8,2.7,61,1
104,7,Other Concepts,account,0.1,0.1,0.1,61,1
111,7,Other Concepts,account,2.4,-1.2,2.6,61,1
119,7,Other Concepts,account,2,2.1,0.1,61,1
133,7,Other Concepts,account,-2,2.1,-0.7,61,1
134,7,Other Concepts,account,1.2,1.9,1.5,61,1
137,7,Other Concepts,account,2.9,3.1,2.9,61,1
160,7,Other Concepts,account,0.6,0.1,0.1,61,1
161,7,Other Concepts,account,0,0,0,61,1
167,7,Other Concepts,account,4,4,4,61,1
200,7,Other Concepts,account,0.1,0.1,0.1,61,1
207,7,Other Concepts,account,-0.1,0.1,0.1,61,1
210,7,Other Concepts,account,0.8,0.8,0.7,61,0.983606557
221,7,Other Concepts,account,1.4,2.9,1.8,61,1
226,7,Other Concepts,account,2.5,3,2.7,61,1
230,7,Other Concepts,account,2.2,3.6,2.8,61,1
240,7,Other Concepts,account,4,4,4,61,1
241,7,Other Concepts,account,-0.7,1.5,-0.8,61,1
247,7,Other Concepts,account,0.3,0.2,0.3,61,1
256,7,Other Concepts,account,4,1.3,4,61,1
263,7,Other Concepts,account,0.4,0.2,-0.3,61,1
281,7,Other Concepts,account,1.9,1.3,1.5,61,1
304,7,Other Concepts,account,3.9,3.8,3.8,61,1
308,7,Other Concepts,account,2,2.1,1.4,61,1
321,7,Other Concepts,account,-0.7,0.7,-0.7,61,0.950819672
346,7,Other Concepts,account,3,3.9,3.2,61,1
366,7,Other Concepts,account,-3.2,-3,-3,61,0.950819672
386,7,Other Concepts,account,3.1,3.1,2,61,1
397,7,Other Concepts,account,2.5,3.3,3.2,61,1
422,7,Other Concepts,account,4,4,4,61,1
431,7,Other Concepts,account,3.3,1.9,3.3,61,1
461,7,Other Concepts,account,4,4,4,61,1
479,7,Other Concepts,account,3.1,3.1,3.1,61,1
488,7,Other Concepts,account,3.8,3.8,-1,61,1
497,7,Other Concepts,account,0,0,0,61,1
516,7,Other Concepts,account,0,0,0,61,1
520,7,Other Concepts,account,0.1,0.1,0.1,61,1
523,7,Other Concepts,account,0.4,-0.3,0.4,61,1
526,7,Other Concepts,account,0.1,-1.8,1.7,61,1
529,7,Other Concepts,account,1.1,2,1.7,61,1
549,7,Other Concepts,account,0.9,-1.3,0.9,61,1
648,7,Other Concepts,account,1,1.1,0.3,61,1
28,8,Concept Modifiers,accurate,2.9,2.1,3.3,61,0.967213115
41,8,Concept Modifiers,accurate,3,3.1,3.1,61,0.967213115
44,8,Concept Modifiers,accurate,1.6,2.5,3.3,61,0.967213115
51,8,Concept Modifiers,accurate,4,3.3,2.9,61,0.967213115
54,8,Concept Modifiers,accurate,2.8,1.8,2.3,61,0.967213115
60,8,Concept Modifiers,accurate,4,1.2,0.1,61,0.967213115
63,8,Concept Modifiers,accurate,2.1,2.1,3,61,0.967213115
70,8,Concept Modifiers,accurate,1.1,-1.3,1.7,61,0.967213115
80,8,Concept Modifiers,accurate,2,2,2.1,61,0.967213115
94,8,Concept Modifiers,accurate,3,3,3.2,61,0.967213115
120,8,Concept Modifiers,accurate,3.3,2.9,3.5,61,0.967213115
126,8,Concept Modifiers,accurate,3.2,3.2,3.4,61,0.950819672
128,8,Concept Modifiers,accurate,2.5,3.1,3.6,61,0.950819672
130,8,Concept Modifiers,accurate,1.9,2.7,2.4,61,0.967213115
141,8,Concept Modifiers,accurate,4,3.6,3.5,61,0.967213115
146,8,Concept Modifiers,accurate,2.4,3.5,2.9,61,0.967213115
173,8,Concept Modifiers,accurate,3.2,3.6,3.6,61,0.967213115
183,8,Concept Modifiers,accurate,4,4,3.8,61,0.967213115
190,8,Concept Modifiers,accurate,0.9,1.7,3.8,61,0.967213115
203,8,Concept Modifiers,accurate,0.2,1.8,1,61,0.967213115
215,8,Concept Modifiers,accurate,3.6,3.6,2.6,61,0.967213115
220,8,Concept Modifiers,accurate,4,2.1,-0.1,61,0.967213115
269,8,Concept Modifiers,accurate,4,4,2.1,61,0.967213115
270,8,Concept Modifiers,accurate,3.6,2.9,-3.1,61,0.967213115
274,8,Concept Modifiers,accurate,3.9,4,2.5,61,0.967213115
280,8,Concept Modifiers,accurate,1.3,0.7,0.2,61,0.967213115
300,8,Concept Modifiers,accurate,-0.8,-0.5,1.2,61,0.967213115
307,8,Concept Modifiers,accurate,3.5,2.7,1.4,61,0.967213115
316,8,Concept Modifiers,accurate,-1.9,2.1,-1.1,61,0.967213115
323,8,Concept Modifiers,accurate,3.9,4,-3.1,61,0.967213115
324,8,Concept Modifiers,accurate,0.9,1,1.4,61,0.967213115
334,8,Concept Modifiers,accurate,2.6,3.8,2.9,61,0.967213115
336,8,Concept Modifiers,accurate,3.1,3.1,3.2,61,0.967213115
348,8,Concept Modifiers,accurate,3.6,3.2,3.7,61,0.967213115
351,8,Concept Modifiers,accurate,0.6,0.8,1.1,61,0.967213115
354,8,Concept Modifiers,accurate,3.1,3.1,3.1,61,0.967213115
362,8,Concept Modifiers,accurate,3.9,3,2.1,61,0.967213115
369,8,Concept Modifiers,accurate,1.6,-1.1,1.8,61,0.967213115
374,8,Concept Modifiers,accurate,0.4,0.5,0.3,61,0.967213115
392,8,Concept Modifiers,accurate,2.1,2.2,2,61,0.967213115
395,8,Concept Modifiers,accurate,1,2.7,1.5,61,0.967213115
400,8,Concept Modifiers,accurate,2.1,1.9,2.1,61,0.967213115
403,8,Concept Modifiers,accurate,1.2,-1,1.5,61,0.967213115
404,8,Concept Modifiers,accurate,4,4,3.3,61,0.967213115
